,title,soc_code,section_body
465,Postsecondary Teachers,25-1113,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
466,Postsecondary Teachers,25-1121,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
467,Postsecondary Teachers,25-1122,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
468,Postsecondary Teachers,25-1123,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
469,Postsecondary Teachers,25-1124,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
470,Postsecondary Teachers,25-1125,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
471,Postsecondary Teachers,25-1126,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
472,Postsecondary Teachers,25-1192,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
473,Postsecondary Teachers,25-1193,overall employment postsecondary teacher project grow percent much fast average occupation opening postsecondary teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment postsecondary teacher vary occupation see table part time full time postsecondary teacher include projection number people attend postsecondary institution expect grow projection decade student continue seek high education gain knowledge skill necessary meet career goal people enter college university postsecondary teacher need serve additional student college university likely hire part time teacher meet demand discipline expect limited number full time nontenure full time tenure position grow number old people likely young people need medical care create increase demand healthcare postsecondary teacher expect need help educate worker provide healthcare service however despite expect increase enrollment employment growth public college university depend local government budget budget high education reduce employment growth limit
474,"Power Plant Operators, Distributors, and Dispatchers",51-8011,overall employment power plant operator distributor dispatcher project decline percent despite decline employment opening power plant operator distributor dispatcher project average decade opening expect result need replace worker transfer occupation exit labor force retire employment although electricity use expect increase technological advance great efficiency expect reduce employment occupation project employment vary occupation see table power plant become efficient many case high electricity generating capacity modernized control room power plant also provide worker information automate task result power plant operator efficient limit opportunity new job similarly efficiency gain expect impact nuclear power reactor operator employment nuclear power face steep competition renewable energy source make new traditional reactor less attractive many exist reactor reach end lifecycle employment power distributor dispatcher project decline due advance smart grid technology dispatch task reroute power outage lend automation however distributor dispatcher still need manage complex electrical grid
475,"Power Plant Operators, Distributors, and Dispatchers",51-8012,overall employment power plant operator distributor dispatcher project decline percent despite decline employment opening power plant operator distributor dispatcher project average decade opening expect result need replace worker transfer occupation exit labor force retire employment although electricity use expect increase technological advance great efficiency expect reduce employment occupation project employment vary occupation see table power plant become efficient many case high electricity generating capacity modernized control room power plant also provide worker information automate task result power plant operator efficient limit opportunity new job similarly efficiency gain expect impact nuclear power reactor operator employment nuclear power face steep competition renewable energy source make new traditional reactor less attractive many exist reactor reach end lifecycle employment power distributor dispatcher project decline due advance smart grid technology dispatch task reroute power outage lend automation however distributor dispatcher still need manage complex electrical grid
476,"Power Plant Operators, Distributors, and Dispatchers",51-8013,overall employment power plant operator distributor dispatcher project decline percent despite decline employment opening power plant operator distributor dispatcher project average decade opening expect result need replace worker transfer occupation exit labor force retire employment although electricity use expect increase technological advance great efficiency expect reduce employment occupation project employment vary occupation see table power plant become efficient many case high electricity generating capacity modernized control room power plant also provide worker information automate task result power plant operator efficient limit opportunity new job similarly efficiency gain expect impact nuclear power reactor operator employment nuclear power face steep competition renewable energy source make new traditional reactor less attractive many exist reactor reach end lifecycle employment power distributor dispatcher project decline due advance smart grid technology dispatch task reroute power outage lend automation however distributor dispatcher still need manage complex electrical grid
477,Preschool and Childcare Center Directors,11-9031,employment preschool childcare center director project grow percent fast average occupation opening preschool childcare center director project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession likely occur early projection decade early childhood education widely recognize important child intellectual emotional development project increase population group include child age contribute demand childcare work parent expect continue rely childcare center service provide however rise cost childcare expect limit demand worker projection decade
478,Preschool Teachers,25-2011,employment preschool teacher project grow percent much fast average occupation opening preschool teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession early childhood education important child intellectual social development preschool teacher need meet demand early childhood education
479,Private Detectives and Investigators,33-9021,employment private detective investigator project grow percent fast average occupation opening private detective investigator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment continue lawsuit fraud crime interpersonal mistrust expect create demand investigative service background check continue source work investigator online investigation not always sufficient
480,Probation Officers and Correctional Treatment Specialists,21-1092,employment probation officer correctional treatment specialist project show little no change despite limited employment growth opening probation officer correctional treatment specialist project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth depend primarily amount local government funding correction especially amount allocate probation parole system demand probation officer correctional treatment specialist strong government continue recognize advantage community correction incarceration certain situation parole officer continue need supervise individual release prison future
481,Producers and Directors,27-2012,employment producer director project grow percent fast average occupation opening producer director project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment volume tv show expect grow number online platform streaming service increase along number show produce platform growth lead opportunity producer director demand theater producer director depend fund availability steady revenue stream worker high demand however opportunity theater producer director limit theater funding challenge
482,Project Management Specialists,13-1082,employment project management specialist project grow percent fast average occupation opening project management specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organization seek way maintain improve productivity employment project management specialist expect increase specialist need help manage various business operation ensure project meet goal complete time within budget demand project management specialist expect strong computer system design service project management specialist need manage grow volume complexity information technology project require support expand telework
483,"Property, Real Estate, and Community Association Managers",11-9141,employment property real estate community association manager project grow percent slow average occupation despite limited employment growth opening property real estate community association manager project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment demand drive number people live building property management operate apartment building condominium cooperative plan community senior housing growth single family housing market positive influence demand new housing development require property manager oversee jointly common area pool gym business center enforce homeowner association law however automation property management task post vacancy assign maintenance request slow employment growth
484,Property Appraisers and Assessors,13-2020,employment property appraiser assessor project grow percent fast average occupation opening property appraiser assessor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand appraisal service link real estate market fluctuate short term projection decade employment growth drive economic expansion general demand propertyinclude residential property personal property item business valuation greater use mobile technology enable worker appraise assess property efficiently increase productivity addition productivity rise increase use automate valuation model aid appraise property mortgage
485,Psychiatric Technicians and Aides,29-2053,overall employment psychiatric technician aide project grow percent fast average occupation opening psychiatric technician aide project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment psychiatric technician aide vary occupation see table cognitive disorder alzheimers disease dementia likely occur old people nation population old people grow demand expect increase psychiatric technician aide care patient affect disorder psychiatric technician aide also need care people mental health substance abuse issue
486,Psychiatric Technicians and Aides,31-1133,overall employment psychiatric technician aide project grow percent fast average occupation opening psychiatric technician aide project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment psychiatric technician aide vary occupation see table cognitive disorder alzheimers disease dementia likely occur old people nation population old people grow demand expect increase psychiatric technician aide care patient affect disorder psychiatric technician aide also need care people mental health substance abuse issue
487,Psychologists,19-3032,overall employment psychologist project grow percent fast average occupation opening psychologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment clinical counseling school psychologist project grow due demand psychological service school hospital mental health center social service agency demand clinical counseling psychologist increase people turn psychologist help problem employment school psychologist continue grow increase awareness connection mental health learning worker also need help student whose educational behavioral developmental issue impact ability learn organization continue employ industrialorganizational psychologist help task select retain employee implement training improve office morale
488,Psychologists,19-3033,overall employment psychologist project grow percent fast average occupation opening psychologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment clinical counseling school psychologist project grow due demand psychological service school hospital mental health center social service agency demand clinical counseling psychologist increase people turn psychologist help problem employment school psychologist continue grow increase awareness connection mental health learning worker also need help student whose educational behavioral developmental issue impact ability learn organization continue employ industrialorganizational psychologist help task select retain employee implement training improve office morale
489,Psychologists,19-3034,overall employment psychologist project grow percent fast average occupation opening psychologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment clinical counseling school psychologist project grow due demand psychological service school hospital mental health center social service agency demand clinical counseling psychologist increase people turn psychologist help problem employment school psychologist continue grow increase awareness connection mental health learning worker also need help student whose educational behavioral developmental issue impact ability learn organization continue employ industrialorganizational psychologist help task select retain employee implement training improve office morale
490,Psychologists,19-3039,overall employment psychologist project grow percent fast average occupation opening psychologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment clinical counseling school psychologist project grow due demand psychological service school hospital mental health center social service agency demand clinical counseling psychologist increase people turn psychologist help problem employment school psychologist continue grow increase awareness connection mental health learning worker also need help student whose educational behavioral developmental issue impact ability learn organization continue employ industrialorganizational psychologist help task select retain employee implement training improve office morale
491,Public Relations and Fundraising Managers,11-2032,overall employment public relation fundraising manager project grow percent fast average occupation opening public relation fundraising manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organizations continue emphasize community outreach customer relation way enhance reputation visibility public opinion change quickly particularly social medium increase speed news travel consequently public relation manager need coordinate help respond news development maintain organization reputation fundraising manager expect become increasingly important organization college university depend heavily donation nonprofit organization focus cultivate online presence increasingly use social medium fundraise activity
492,Public Relations and Fundraising Managers,11-2033,overall employment public relation fundraising manager project grow percent fast average occupation opening public relation fundraising manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organizations continue emphasize community outreach customer relation way enhance reputation visibility public opinion change quickly particularly social medium increase speed news travel consequently public relation manager need coordinate help respond news development maintain organization reputation fundraising manager expect become increasingly important organization college university depend heavily donation nonprofit organization focus cultivate online presence increasingly use social medium fundraise activity
493,Public Relations Specialists,27-3031,employment public relation specialist project grow percent fast average occupation opening public relation specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organizations continue emphasize community outreach customer relation way maintain enhance reputation visibility public opinion change quickly particularly good bad news spread rapidly internet consequently public relation specialist need respond news development maintain organization reputation use social medium also expect create opportunity public relation specialist try appeal consumer general public new way public relation specialist need help client use social medium effectively
494,Public Safety Telecommunicators,43-5031,employment public safety telecommunicator project grow percent fast average occupation opening public safety telecommunicator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment local government budget constraint limit number public safety telecommunicator hire projection decade however population growth commensurate increase call volume expect create demand worker
495,"Purchasing Managers, Buyers, and Purchasing Agents",11-3061,overall employment purchasing manager buyer purchase agent project decline percent despite decline employment opening purchase manager buyer purchase agent project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment purchasing manager buyer purchase agent vary occupation see table employment buyer purchase agent project decline due increase automation outsourcing procurement task organization likely adopt automation simple procurement function find supplier processing purchase order addition organization rely third party handle task market research supplier risk assessment public sector employment demand impact increase use cooperative purchasing agreement agreement allow local government share resource buy supply make general purchase standard contract use multiple time multiple government agency rise purchase cooperative limit need hire additional procurement officer employment purchasing manager project increase worker continue need help procure good service business operation resale customer
496,"Purchasing Managers, Buyers, and Purchasing Agents",13-1020,overall employment purchasing manager buyer purchase agent project decline percent despite decline employment opening purchase manager buyer purchase agent project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment purchasing manager buyer purchase agent vary occupation see table employment buyer purchase agent project decline due increase automation outsourcing procurement task organization likely adopt automation simple procurement function find supplier processing purchase order addition organization rely third party handle task market research supplier risk assessment public sector employment demand impact increase use cooperative purchasing agreement agreement allow local government share resource buy supply make general purchase standard contract use multiple time multiple government agency rise purchase cooperative limit need hire additional procurement officer employment purchasing manager project increase worker continue need help procure good service business operation resale customer
497,Quality Control Inspectors,51-9061,employment quality control inspector project decline percent despite decline employment opening quality control inspector project average decade opening expect result need replace worker transfer occupation exit labor force retire employment continued improvement technology allow manufacturer automate part inspection task increase worker productivity example use three dimensional scanner decrease amount time require inspect part finish good correct measurement despite technological advance quality control many industry automation not replace task inspector personal inspection testing validation continue need product require testing taste texture performance
498,Radiation Therapists,29-1124,employment radiation therapist project grow percent fast average occupation opening radiation therapist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment incidence cancer increase people age age population increase demand radiation therapist continue advancement detection cancer development sophisticated treatment technique also lead great demand radiation therapy
499,Radiologic and MRI Technologists,29-2034,overall employment radiologic mri technologist project grow percent fast average occupation opening radiologic mri technologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment grow size old population rise prevalence chronic disease lead great demand healthcare service include diagnostic procedure radiologic mri technologist need perform imaging exam essential make diagnosis create treatment plan falls associated injury broken bone head trauma common old people require x ray computed tomography ct scan assess extent harm addition mri scan useful image various type cancer include brain spine liver number fall cancer case rise technologist technician need operate equipment help detect assess diagnose injury disease
500,Radiologic and MRI Technologists,29-2035,overall employment radiologic mri technologist project grow percent fast average occupation opening radiologic mri technologist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment grow size old population rise prevalence chronic disease lead great demand healthcare service include diagnostic procedure radiologic mri technologist need perform imaging exam essential make diagnosis create treatment plan falls associated injury broken bone head trauma common old people require x ray computed tomography ct scan assess extent harm addition mri scan useful image various type cancer include brain spine liver number fall cancer case rise technologist technician need operate equipment help detect assess diagnose injury disease
501,Railroad Workers,53-4011,overall employment railroad worker project grow percent fast average occupation opening railroad worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment railroad worker vary occupation see table increase intermodal freightthe shipment good multiple transportation modesmay increase demand railroad worker however decrease demand transportation bulk commodity coal expect cause railroad limit employment effort become efficient power plant increasingly use natural gas instead coal electricity production need rail transportation coal decline
502,Railroad Workers,53-4013,overall employment railroad worker project grow percent fast average occupation opening railroad worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment railroad worker vary occupation see table increase intermodal freightthe shipment good multiple transportation modesmay increase demand railroad worker however decrease demand transportation bulk commodity coal expect cause railroad limit employment effort become efficient power plant increasingly use natural gas instead coal electricity production need rail transportation coal decline
503,Railroad Workers,53-4022,overall employment railroad worker project grow percent fast average occupation opening railroad worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment railroad worker vary occupation see table increase intermodal freightthe shipment good multiple transportation modesmay increase demand railroad worker however decrease demand transportation bulk commodity coal expect cause railroad limit employment effort become efficient power plant increasingly use natural gas instead coal electricity production need rail transportation coal decline
504,Railroad Workers,53-4031,overall employment railroad worker project grow percent fast average occupation opening railroad worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment railroad worker vary occupation see table increase intermodal freightthe shipment good multiple transportation modesmay increase demand railroad worker however decrease demand transportation bulk commodity coal expect cause railroad limit employment effort become efficient power plant increasingly use natural gas instead coal electricity production need rail transportation coal decline
505,Real Estate Brokers and Sales Agents,41-9021,overall employment real estate broker sale agent project grow percent fast average occupation opening real estate broker sale agent project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment continue demand real estate broker sale agent people turn worker look new home relocate purchase property business among reason employment project grow along real estate market tight credit regulation increase real estate price force people continue rent oppose enter housing market result new job real estate broker sale agent real estate market highly sensitive fluctuation economy project employment real estate broker agent vary accordingly period economic growth stability employment grow accommodate people look buy home commercial retail space alternatively period decline economic activity rise interest rate amount work broker agent often slow employment decline
506,Real Estate Brokers and Sales Agents,41-9022,overall employment real estate broker sale agent project grow percent fast average occupation opening real estate broker sale agent project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment continue demand real estate broker sale agent people turn worker look new home relocate purchase property business among reason employment project grow along real estate market tight credit regulation increase real estate price force people continue rent oppose enter housing market result new job real estate broker sale agent real estate market highly sensitive fluctuation economy project employment real estate broker agent vary accordingly period economic growth stability employment grow accommodate people look buy home commercial retail space alternatively period decline economic activity rise interest rate amount work broker agent often slow employment decline
507,Receptionists,43-4171,employment receptionist project show little no change despite limited employment growth opening receptionist project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment grow healthcare industry project lead demand receptionist particularly office physician dentist healthcare practitioner employment growth receptionist industry expect slow organization continue automate consolidate administrative function example many organization use computer software website mobile application technology interact public customer
508,Recreational Therapists,29-1125,employment recreational therapist project grow percent fast average occupation opening recreational therapist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment large number u population move old age group people need recreational therapist help treat age relate injury illness old people likely young people alzheimers disease stroke mobility relate injury benefit treat condition recreational therapy therapist also need help healthy senior remain social active independent community age addition number people chronic condition diabetes obesity grow recreational therapist need help patient maintain mobility learn manage condition adjust recreational activity accommodate physical limitation therapist also need plan lead program design maintain overall wellness participation activity camp day trip sport
509,Recreation Workers,39-9032,employment recreation worker project grow percent fast average occupation opening recreation worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment increase emphasis importance lifelong well expect create demand recreation worker variety setting include fitness recreational sport center country club organization park recreation department contract service activity specialist addition demand recreation worker work old client especially continue care retirement community assist living facility
510,Registered Nurses,29-1141,employment register nurse project grow percent fast average occupation opening register nurse project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand healthcare service increase large number old people typically medical problem young people register nurse also need educate care patient chronic condition diabetes obesity job growth expect across type healthcare setting include hospital outpatient care center provide day service chemotherapy rehabilitation surgery addition many old people prefer treat home residential care facility registered nurse demand setting
511,Rehabilitation Counselors,21-1015,employment rehabilitation counselor project grow percent much fast average occupation opening rehabilitation counselor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand rehabilitation counselor expect grow increase elderly population continue rehabilitation need group veteran people disability old adult likely age group become disabled injure rehabilitation counselor need help elderly learn adapt new limitation learn strategy live independently addition continue need rehabilitation counselor work veteran disable military service also need work group people learn disability autism spectrum disorder substance abuse problem
512,Respiratory Therapists,29-1126,employment respiratory therapist project grow percent much fast average occupation opening respiratory therapist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment growth old adult population lead increase prevalence respiratory condition pneumonia chronic obstructive pulmonary disease copd disorder restrict lung function turn lead increase demand respiratory therapy service treatment mostly hospital addition grow emphasis reduce readmission hospital provide patient care outpatient facility result demand respiratory therapist health clinic doctor office respiratory condition affect people age problem due smoking air pollution arise emergency continue create demand respiratory therapist
513,Retail Sales Workers,41-2022,overall employment retail sale worker project show little no change despite limited employment growth opening retail sale worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment increase online sale expect continue projection decade limit growth number physical retail store reduce demand retail sale worker project employment retail sale worker vary occupation see table competition e commerce expect reduce demand retail salesperson however brick mortar retail store increase emphasis customer service way compete online seller cost pressure lead retailer hire worker perform broad range task help customer find item operate cash register restock shelf retail salesperson provide versatile range service many consumer still expect visit physical store retail salesperson continue need help customer complete sale demand car part part salesperson expect continue grow number old car require repair moreover demand ride hail service shift public transportation use back automobile service far add need car part upkeep maintenance support demand part salesperson
514,Retail Sales Workers,41-2031,overall employment retail sale worker project show little no change despite limited employment growth opening retail sale worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment increase online sale expect continue projection decade limit growth number physical retail store reduce demand retail sale worker project employment retail sale worker vary occupation see table competition e commerce expect reduce demand retail salesperson however brick mortar retail store increase emphasis customer service way compete online seller cost pressure lead retailer hire worker perform broad range task help customer find item operate cash register restock shelf retail salesperson provide versatile range service many consumer still expect visit physical store retail salesperson continue need help customer complete sale demand car part part salesperson expect continue grow number old car require repair moreover demand ride hail service shift public transportation use back automobile service far add need car part upkeep maintenance support demand part salesperson
515,Roofers,47-2181,employment roofer project show little no change despite limited employment growth opening roofer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment replacement repair roof well installation new roof create demand roofer demand come installation solar photovoltaic panel build rooftop
516,Sales Engineers,41-9031,employment sale engineer project grow percent fast average occupation opening sale engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment sales engineer expect demand help promote increase number technologically sophisticated product service employment growth likely strong sale engineer sell computer software hardware strong industry growth expect computer system design relate service contribute employment growth occupation
517,Sales Managers,11-2022,employment sale manager project grow percent fast average occupation opening sale manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth manager depend primarily growth contraction industry employ effective sale team remain crucial profitability economy grow organization focus generate new sale look sale strategy way increase competitiveness online shopping expect continue increase mean sale complete without sale worker involve transaction however brick mortar retail store also expect increase emphasis customer service way compete online seller sale manager need direct navigate mix online brick mortar sale sustained demand expect worker
